显示序号,型号,规格,标准,电压等级,计量单位,报价数量,颜色,报价产品,外购,红本价,报价
59,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
60,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
61,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
62,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
63,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
64,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
65,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
66,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
67,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
68,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
69,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
70,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
71,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
72,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
73,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
74,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
75,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
76,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
77,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
78,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
79,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
80,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
81,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
82,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
83,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
84,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
85,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
86,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
87,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
88,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
89,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
90,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
91,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
92,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
93,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
94,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
95,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
96,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
97,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
98,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
99,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
100,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
101,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
102,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
103,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
104,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
105,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
106,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
107,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
108,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
109,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
110,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
111,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
112,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
113,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
114,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
115,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
116,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
117,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
118,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
119,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
120,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
121,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
122,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
123,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
124,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
125,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
126,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
127,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
128,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
129,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
130,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
131,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
132,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
133,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
134,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
135,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
136,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
137,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
